Time,Channel A
(us),(mV)

-99.83580094,65.11430000
-99.81580094,65.11430000
-99.79580094,65.11430000
-99.77580094,35.48997000
-99.75580094,22.92245000
-99.73580094,4.97146500
-99.71580094,-2.20954000
-99.69580094,-3.10678400
-99.67580094,-4.90127200
-99.65580094,-6.69576100
-99.63580094,-5.79851700
-99.61580094,-5.79851700
-99.59580094,-6.69576100
-99.57580094,-6.69576100
-99.55580094,-6.69576100
-99.53580094,-6.69576100
-99.51580094,-6.69576100
-99.49580094,-7.59605700
-99.47580094,-6.69576100
-99.45580094,-6.69576100
-99.43580094,-7.59605700
-99.41580094,-7.59605700
-99.39580094,-6.69576100
-99.37580094,-7.59605700
-99.35580094,-7.59605700
-99.33580094,-6.69576100
-99.31580094,-6.69576100
-99.29580094,-4.90127200
-99.27580094,33.69549000
-99.25580094,50.75228000
-99.23580094,54.34126000
-99.21580094,60.62502000
-99.19580094,63.31981000
-99.17580094,63.31981000
-99.15580094,63.31981000
-99.13580094,63.31981000
-99.11580094,22.92245000
-99.09580094,8.56044200
-99.07580094,3.17697700
-99.05580094,-3.10678400
-99.03580094,-5.79851700
-99.01580094,-4.90127200
-98.99580094,-6.69576100
-98.97580094,-6.69576100
-98.95580094,33.69549000
-98.93580094,42.67098000
-98.91580094,53.44401000
-98.89580094,60.62502000
-98.87580094,62.41951000
-98.85580094,62.41951000
-98.83580094,64.21705000
-98.81580094,64.21705000
-98.79580094,64.21705000
-98.77580094,64.21705000
-98.75580094,64.21705000
-98.73580094,64.21705000
-98.71580095,65.11430000
-98.69580095,64.21705000
-98.67580095,64.21705000
-98.65580095,64.21705000
-98.63580095,33.69549000
-98.61580095,21.12796000
-98.59580095,4.07422100
-98.57580095,-2.20954000
-98.55580095,-3.10678400
-98.53580095,-4.90127200
-98.51580095,-6.69576100
-98.49580095,-5.79851700
-98.47580095,-5.79851700
-98.45580095,-6.69576100
-98.43580095,-6.69576100
-98.41580095,-6.69576100
-98.39580095,-6.69576100
-98.37580095,-6.69576100
-98.35580095,-6.69576100
-98.33580095,-6.69576100
-98.31580095,1.38248800
-98.29580095,33.69549000
-98.27580095,53.44401000
-98.25580095,57.03604000
-98.23580095,59.72777000
-98.21580095,63.31981000
-98.19580095,63.31981000
-98.17580095,63.31981000
-98.15580095,64.21705000
-98.13580095,64.21705000
-98.11580095,64.21705000
-98.09580095,64.21705000
-98.07580095,64.21705000
-98.05580095,64.21705000
-98.03580095,64.21705000
-98.01580095,64.21705000
-97.99580095,63.31981000
-97.97580095,23.81970000
-97.95580095,7.66319800
-97.93580095,4.07422100
-97.91580095,-3.10678400
-97.89580095,-4.90127200
-97.87580095,-4.90127200
-97.85580095,-5.79851700
-97.83580095,-6.69576100
-97.81580095,-6.69576100
-97.79580095,-6.69576100
-97.77580095,-6.69576100
-97.75580095,-6.69576100
-97.73580095,-6.69576100
-97.71580095,-6.69576100
-97.69580095,-6.69576100
-97.67580095,-6.69576100
-97.65580095,30.10346000
-97.63580095,39.08200000
-97.61580095,52.54677000
-97.59580095,61.52226000
-97.57580095,61.52226000
-97.55580095,62.41951000
-97.53580095,64.21705000
-97.51580095,64.21705000
-97.49580095,64.21705000
-97.47580095,64.21705000
-97.45580095,64.21705000
-97.43580095,64.21705000
-97.41580095,64.21705000
-97.39580095,64.21705000
-97.37580095,64.21705000
-97.35580095,65.11430000
-97.33580095,40.87649000
-97.31580095,22.92245000
-97.29580095,4.07422100
-97.27580095,-2.20954000
-97.25580095,-2.20954000
-97.23580095,-4.90127200
-97.21580095,-5.79851700
-97.19580095,-5.79851700
-97.17580095,-5.79851700
-97.15580095,-6.69576100
-97.13580095,-6.69576100
-97.11580095,-6.69576100
-97.09580095,-6.69576100
-97.07580096,-6.69576100
-97.05580096,-6.69576100
-97.03580096,-6.69576100
-97.01580096,-3.10678400
-96.99580096,33.69549000
-96.97580096,52.54677000
-96.95580096,55.23850000
-96.93580096,60.62502000
-96.91580096,63.31981000
-96.89580096,63.31981000
-96.87580096,63.31981000
-96.85580096,64.21705000
-96.83580096,64.21705000
-96.81580096,64.21705000
-96.79580096,64.21705000
-96.77580096,64.21705000
-96.75580096,64.21705000
-96.73580096,64.21705000
-96.71580096,64.21705000
-96.69580096,64.21705000
-96.67580096,23.81970000
-96.65580096,11.25217000
-96.63580096,4.97146500
-96.61580096,-3.10678400
-96.59580096,-4.90127200
-96.57580096,-4.90127200
-96.55580096,-5.79851700
-96.53580096,-6.69576100
-96.51580096,-6.69576100
-96.49580096,-6.69576100
-96.47580096,-7.59605700
-96.45580096,-6.69576100
-96.43580096,-6.69576100
-96.41580096,-6.69576100
-96.39580096,-6.69576100
-96.37580096,-6.69576100
-96.35580096,24.71694000
-96.33580096,36.38722000
-96.31580096,52.54677000
-96.29580096,60.62502000
-96.27580096,60.62502000
-96.25580096,62.41951000
-96.23580096,64.21705000
-96.21580096,64.21705000
-96.19580096,64.21705000
-96.17580096,64.21705000
-96.15580096,64.21705000
-96.13580096,64.21705000
-96.11580096,64.21705000
-96.09580096,64.21705000
-96.07580096,64.21705000
-96.05580096,64.21705000
-96.03580096,48.95474000
-96.01580096,23.81970000
-95.99580096,3.17697700
-95.97580096,-0.41199990
-95.95580096,-2.20954000
-95.93580096,-4.90127200
-95.91580096,-5.79851700
-95.89580096,-5.79851700
-95.87580096,-6.69576100
-95.85580096,-6.69576100
-95.83580096,-6.69576100
-95.81580096,-6.69576100
-95.79580096,-6.69576100
-95.77580096,-6.69576100
-95.75580096,-6.69576100
-95.73580096,-6.69576100
-95.71580096,-4.90127200
-95.69580096,33.69549000
-95.67580096,49.85199000
-95.65580096,53.44401000
-95.63580096,60.62502000
-95.61580096,63.31981000
-95.59580096,63.31981000
-95.57580096,64.21705000
-95.55580096,64.21705000
-95.53580096,64.21705000
-95.51580096,64.21705000
-95.49580096,63.31981000
-95.47580096,64.21705000
-95.45580096,65.11430000
-95.43580097,65.11430000
-95.41580097,65.11430000
-95.39580097,66.01154000
-95.37580097,25.61724000
-95.35580097,16.63869000
-95.33580097,5.86870900
-95.31580097,-3.10678400
-95.29580097,-4.00402800
-95.27580097,-4.90127200
-95.25580097,-6.69576100
-95.23580097,-6.69576100
-95.21580097,-6.69576100
-95.19580097,-7.59605700
-95.17580097,-7.59605700
-95.15580097,-6.69576100
-95.13580097,-7.59605700
-95.11580097,-7.59605700
-95.09580097,-6.69576100
-95.07580097,-6.69576100
-95.05580097,17.53593000
-95.03580097,34.59273000
-95.01580097,53.44401000
-94.99580097,59.72777000
-94.97580097,60.62502000
-94.95580097,62.41951000
-94.93580097,63.31981000
-94.91580097,64.21705000
-94.89580097,64.21705000
-94.87580097,64.21705000
-94.85580097,64.21705000
-94.83580097,64.21705000
-94.81580097,64.21705000
-94.79580097,65.11430000
-94.77580097,64.21705000
-94.75580097,64.21705000
-94.73580097,55.23850000
-94.71580097,23.81970000
-94.69580097,4.07422100
-94.67580097,1.38248800
-94.65580097,-2.20954000
-94.63580097,-5.79851700
-94.61580097,-5.79851700
-94.59580097,-5.79851700
-94.57580097,-6.69576100
-94.55580097,-6.69576100
-94.53580097,-6.69576100
-94.51580097,-6.69576100
-94.49580097,-7.59605700
-94.47580097,-6.69576100
-94.45580097,-6.69576100
-94.43580097,-6.69576100
-94.41580097,-5.79851700
-94.39580097,33.69549000
-94.37580097,47.16025000
-94.35580097,53.44401000
-94.33580097,60.62502000
-94.31580097,62.41951000
-94.29580097,62.41951000
-94.27580097,64.21705000
-94.25580097,64.21705000
-94.23580097,64.21705000
-94.21580097,64.21705000
-94.19580097,65.11430000
-94.17580097,64.21705000
-94.15580097,64.21705000
-94.13580097,64.21705000
-94.11580097,64.21705000
-94.09580097,64.21705000
-94.07580097,26.51448000
-94.05580097,18.43318000
-94.03580097,4.97146500
-94.01580097,-3.10678400
-93.99580097,-4.00402800
-93.97580097,-4.90127200
-93.95580097,-6.69576100
-93.93580097,-6.69576100
-93.91580097,-6.69576100
-93.89580097,-6.69576100
-93.87580097,-6.69576100
-93.85580097,-6.69576100
-93.83580097,-6.69576100
-93.81580097,-6.69576100
-93.79580098,-6.69576100
-93.77580098,-6.69576100
-93.75580098,10.35493000
-93.73580098,34.59273000
-93.71580098,53.44401000
-93.69580098,58.83053000
-93.67580098,60.62502000
-93.65580098,63.31981000
-93.63580098,64.21705000
-93.61580098,63.31981000
-93.59580098,64.21705000
-93.57580098,64.21705000
-93.55580098,64.21705000
-93.53580098,64.21705000
-93.51580098,64.21705000
-93.49580098,64.21705000
-93.47580098,64.21705000
-93.45580098,64.21705000
-93.43580098,59.72777000
-93.41580098,23.81970000
-93.39580098,4.97146500
-93.37580098,2.27973300
-93.35580098,-2.20954000
-93.33580098,-6.69576100
-93.31580098,-5.79851700
-93.29580098,-5.79851700
-93.27580098,-6.69576100
-93.25580098,-6.69576100
-93.23580098,-6.69576100
-93.21580098,-6.69576100
-93.19580098,-6.69576100
-93.17580098,-7.59605700
-93.15580098,-6.69576100
-93.13580098,-6.69576100
-93.11580098,-6.69576100
-93.09580098,33.69549000
-93.07580098,43.56823000
-93.05580098,53.44401000
-93.03580098,60.62502000
-93.01580098,62.41951000
-92.99580098,63.31981000
-92.97580098,64.21705000
-92.95580098,64.21705000
-92.93580098,64.21705000
-92.91580098,64.21705000
-92.89580098,64.21705000
-92.87580098,64.21705000
-92.85580098,64.21705000
-92.83580098,65.11430000
-92.81580098,65.11430000
-92.79580098,65.11430000
-92.77580098,31.00070000
-92.75580098,21.12796000
-92.73580098,4.97146500
-92.71580098,-3.10678400
-92.69580098,-3.10678400
-92.67580098,-4.00402800
-92.65580098,-5.79851700
-92.63580098,-6.69576100
-92.61580098,-6.69576100
-92.59580098,-6.69576100
-92.57580098,-6.69576100
-92.55580098,-7.59605700
-92.53580098,-6.69576100
-92.51580098,-6.69576100
-92.49580098,-6.69576100
-92.47580098,-6.69576100
-92.45580098,3.17697700
-92.43580098,33.69549000
-92.41580098,53.44401000
-92.39580098,57.03604000
-92.37580098,59.72777000
-92.35580098,63.31981000
-92.33580098,63.31981000
-92.31580098,64.21705000
-92.29580098,64.21705000
-92.27580098,64.21705000
-92.25580098,64.21705000
-92.23580098,64.21705000
-92.21580098,65.11430000
-92.19580098,65.11430000
-92.17580098,64.21705000
-92.15580098,65.11430000
-92.13580099,62.41951000
-92.11580099,23.81970000
-92.09580099,6.76595400
-92.07580099,3.17697700
-92.05580099,-3.10678400
-92.03580099,-5.79851700
-92.01580099,-5.79851700
-91.99580099,-5.79851700
-91.97580099,-6.69576100
-91.95580099,-6.69576100
-91.93580099,-6.69576100
-91.91580099,-6.69576100
-91.89580099,-6.69576100
-91.87580099,-7.59605700
-91.85580099,-6.69576100
-91.83580099,-7.59605700
-91.81580099,-6.69576100
-91.79580099,31.90100000
-91.77580099,39.97925000
-91.75580099,52.54677000
-91.73580099,60.62502000
-91.71580099,61.52226000
-91.69580099,62.41951000
-91.67580099,64.21705000
-91.65580099,64.21705000
-91.63580099,64.21705000
-91.61580099,64.21705000
-91.59580099,64.21705000
-91.57580099,64.21705000
-91.55580099,64.21705000
-91.53580099,64.21705000
-91.51580099,64.21705000
-91.49580099,64.21705000
-91.47580099,38.18476000
-91.45580099,22.92245000
-91.43580099,4.07422100
-91.41580099,-1.31229600
-91.39580099,-4.00402800
-91.37580099,-4.00402800
-91.35580099,-7.59605700
-91.33580099,-5.79851700
-91.31580099,-6.69576100
-91.29580099,-6.69576100
-91.27580099,-6.69576100
-91.25580099,-6.69576100
-91.23580099,-5.79851700
-91.21580099,-7.59605700
-91.19580099,-6.69576100
-91.17580099,-6.69576100
-91.15580099,-2.20954000
-91.13580099,33.69549000
-91.11580099,52.54677000
-91.09580099,56.13575000
-91.07580099,59.72777000
-91.05580099,63.31981000
-91.03580099,63.31981000
-91.01580099,63.31981000
-90.99580099,64.21705000
-90.97580099,64.21705000
-90.95580099,64.21705000
-90.93580099,64.21705000
-90.91580099,64.21705000
-90.89580099,65.11430000
-90.87580099,64.21705000
-90.85580099,65.11430000
-90.83580099,63.31981000
-90.81580099,23.81970000
-90.79580099,10.35493000
-90.77580099,4.07422100
-90.75580099,-3.10678400
-90.73580099,-5.79851700
-90.71580099,-4.90127200
-90.69580099,-6.69576100
-90.67580099,-6.69576100
-90.65580099,-6.69576100
-90.63580099,-6.69576100
-90.61580099,-6.69576100
-90.59580099,-6.69576100
-90.57580099,-6.69576100
-90.55580099,-6.69576100
-90.53580099,-6.69576100
-90.51580099,-6.69576100
-90.49580100,28.30897000
-90.47580100,37.28446000
-90.45580100,53.44401000
-90.43580100,60.62502000
-90.41580100,61.52226000
-90.39580100,62.41951000
-90.37580100,64.21705000
-90.35580100,64.21705000
-90.33580100,64.21705000
-90.31580100,64.21705000
-90.29580100,64.21705000
-90.27580100,64.21705000
-90.25580100,65.11430000
-90.23580100,64.21705000
-90.21580100,64.21705000
-90.19580100,65.11430000
-90.17580100,46.26301000
-90.15580100,23.81970000
-90.13580100,4.07422100
-90.11580100,-0.41199990
-90.09580100,-2.20954000
-90.07580100,-5.79851700
-90.05580100,-5.79851700
