Time,Channel A
(us),(V)

-1.89035404,-0.62593470
-1.88035404,-0.62593470
-1.87035404,-0.71535380
-1.86035404,-0.62593470
-1.85035404,-0.62593470
-1.84035404,-0.62593470
-1.83035404,-0.62593470
-1.82035404,-0.62593470
-1.81035404,-0.62593470
-1.80035404,-0.62593470
-1.79035404,-0.62593470
-1.78035404,-0.62593470
-1.77035404,-0.62593470
-1.76035404,-0.62593470
-1.75035404,-0.62593470
-1.74035404,-0.62593470
-1.73035404,-0.62593470
-1.72035404,-0.62593470
-1.71035404,3.04025400
-1.70035404,7.06442500
-1.69035404,5.81225000
-1.68035404,5.45457300
-1.67035404,5.81225000
-1.66035404,5.72283100
-1.65035404,5.72283100
-1.64035404,5.81225000
-1.63035404,5.72283100
-1.62035404,5.72283100
-1.61035404,5.81225000
-1.60035404,5.72283100
-1.59035404,5.72283100
-1.58035404,5.72283100
-1.57035404,5.72283100
-1.56035404,5.72283100
-1.55035404,5.72283100
-1.54035404,5.72283100
-1.53035404,5.72283100
-1.52035404,5.72283100
-1.51035404,5.72283100
-1.50035404,5.72283100
-1.49035404,5.63341100
-1.48035404,5.72283100
-1.47035404,5.72283100
-1.46035404,5.72283100
-1.45035404,5.72283100
-1.44035404,5.72283100
-1.43035404,5.72283100
-1.42035405,5.72283100
-1.41035405,5.72283100
-1.40035405,5.72283100
-1.39035405,5.72283100
-1.38035405,5.72283100
-1.37035405,5.72283100
-1.36035405,5.72283100
-1.35035405,5.72283100
-1.34035405,5.72283100
-1.33035405,5.72283100
-1.32035405,5.72283100
-1.31035405,5.72283100
-1.30035405,5.72283100
-1.29035405,5.72283100
-1.28035405,5.72283100
-1.27035405,5.63341100
-1.26035405,5.72283100
-1.25035405,5.72283100
-1.24035405,5.72283100
-1.23035405,5.72283100
-1.22035405,5.72283100
-1.21035405,5.18631500
-1.20035405,-2.86141500
-1.19035405,0.44709620
-1.18035405,-1.16245000
-1.17035405,-0.53651540
-1.16035405,-0.62593470
-1.15035405,-0.80477310
-1.14035405,-0.71535380
-1.13035405,-0.62593470
-1.12035405,-0.71535380
-1.11035405,-0.71535380
-1.10035405,-0.71535380
-1.09035405,-0.62593470
-1.08035405,-0.62593470
-1.07035405,-0.62593470
-1.06035405,-0.62593470
-1.05035405,-0.62593470
-1.04035405,-0.71535380
-1.03035405,-0.71535380
-1.02035405,-0.62593470
-1.01035405,-0.71535380
-1.00035405,-0.71535380
-0.99035405,-0.62593470
-0.98035405,-0.62593470
