Time,Channel A
(us),(V)

-1.89858702,5.81225000
-1.88858702,5.72283100
-1.87858702,5.72283100
-1.86858702,5.72283100
-1.85858702,5.72283100
-1.84858702,5.72283100
-1.83858702,5.72283100
-1.82858702,5.72283100
-1.81858702,5.72283100
-1.80858702,5.72283100
-1.79858702,5.72283100
-1.78858702,5.72283100
-1.77858702,5.72283100
-1.76858702,5.72283100
-1.75858702,5.72283100
-1.74858702,5.72283100
-1.73858702,5.72283100
-1.72858702,5.72283100
-1.71858702,5.72283100
-1.70858702,5.72283100
-1.69858702,5.72283100
-1.68858702,5.72283100
-1.67858702,5.72283100
-1.66858702,5.72283100
-1.65858702,5.72283100
-1.64858702,5.72283100
-1.63858702,5.72283100
-1.62858702,5.72283100
-1.61858702,5.63341100
-1.60858702,-0.71535380
-1.59858702,-0.44709620
-1.58858702,-1.25186900
-1.57858702,-0.26825770
-1.56858702,-0.80477310
-1.55858702,-0.71535380
-1.54858702,-0.71535380
-1.53858702,-0.71535380
-1.52858702,-0.62593470
-1.51858702,-0.71535380
-1.50858702,-0.71535380
-1.49858702,-0.62593470
-1.48858702,-0.71535380
-1.47858702,-0.62593470
-1.46858702,-0.71535380
-1.45858702,-0.71535380
-1.44858702,-0.62593470
-1.43858702,-0.62593470
-1.42858702,-0.62593470
-1.41858702,-0.62593470
-1.40858702,-0.62593470
-1.39858702,-0.62593470
-1.38858702,-0.62593470
-1.37858702,-0.71535380
-1.36858702,-0.71535380
-1.35858702,-0.62593470
-1.34858702,-0.62593470
-1.33858702,-0.62593470
-1.32858702,-0.62593470
-1.31858702,-0.62593470
-1.30858702,-0.62593470
-1.29858702,5.00747700
-1.28858702,5.99108900
-1.27858702,6.16992700
-1.26858702,5.36515400
-1.25858702,5.72283100
-1.24858702,5.72283100
-1.23858702,5.72283100
-1.22858702,5.72283100
-1.21858702,5.72283100
-1.20858702,5.72283100
-1.19858702,5.81225000
-1.18858702,5.72283100
-1.17858702,5.72283100
-1.16858702,5.72283100
-1.15858702,5.72283100
-1.14858702,5.72283100
-1.13858702,5.63341100
-1.12858702,5.72283100
-1.11858702,5.72283100
-1.10858702,5.72283100
-1.09858702,5.72283100
-1.08858702,5.72283100
-1.07858702,5.72283100
-1.06858702,5.72283100
-1.05858702,5.72283100
-1.04858702,5.72283100
-1.03858702,5.72283100
-1.02858702,5.72283100
-1.01858702,5.72283100
-1.00858702,5.72283100
-0.99858702,5.72283100
-0.98858702,5.72283100
-0.97858702,5.72283100
