Time,Channel A
(us),(mV)

-100.05102376,64.21705000
-100.03102376,64.21705000
-100.01102376,65.11430000
-99.99102376,64.21705000
-99.97102377,65.11430000
-99.95102377,64.21705000
-99.93102377,23.81970000
-99.91102377,12.14942000
-99.89102377,4.07422100
-99.87102377,-3.10678400
-99.85102377,-4.90127200
-99.83102377,-4.90127200
-99.81102377,-5.79851700
-99.79102377,-6.69576100
-99.77102377,-6.69576100
-99.75102377,-5.79851700
-99.73102377,-6.69576100
-99.71102377,-6.69576100
-99.69102377,-6.69576100
-99.67102377,-6.69576100
-99.65102377,-6.69576100
-99.63102377,-6.69576100
-99.61102377,22.92245000
-99.59102377,35.48997000
-99.57102377,52.54677000
-99.55102377,60.62502000
-99.53102377,60.62502000
-99.51102377,62.41951000
-99.49102377,64.21705000
-99.47102377,64.21705000
-99.45102377,64.21705000
-99.43102377,65.11430000
-99.41102377,64.21705000
-99.39102377,64.21705000
-99.37102377,64.21705000
-99.35102377,65.11430000
-99.33102377,64.21705000
-99.31102377,65.11430000
-99.29102377,51.64952000
-99.27102377,23.81970000
-99.25102377,4.07422100
-99.23102377,0.48524430
-99.21102377,-2.20954000
-99.19102377,-5.79851700
-99.17102377,-5.79851700
-99.15102377,-5.79851700
-99.13102377,-6.69576100
-99.11102377,-6.69576100
-99.09102377,-6.69576100
-99.07102377,-6.69576100
-99.05102377,-6.69576100
-99.03102377,-6.69576100
-99.01102377,-7.59605700
-98.99102377,-6.69576100
-98.97102377,-5.79851700
-98.95102377,33.69549000
-98.93102377,49.85199000
-98.91102377,54.34126000
-98.89102377,60.62502000
-98.87102377,63.31981000
-98.85102377,63.31981000
-98.83102377,63.31981000
-98.81102377,64.21705000
-98.79102377,64.21705000
-98.77102377,64.21705000
-98.75102377,64.21705000
-98.73102377,64.21705000
-98.71102377,64.21705000
-98.69102377,64.21705000
-98.67102377,64.21705000
-98.65102377,64.21705000
-98.63102377,24.71694000
-98.61102377,15.74145000
-98.59102377,4.07422100
-98.57102377,-3.10678400
-98.55102377,-4.90127200
-98.53102377,-4.90127200
-98.51102377,-5.79851700
-98.49102377,-6.69576100
-98.47102377,-6.69576100
-98.45102377,-6.69576100
-98.43102377,-6.69576100
-98.41102377,-6.69576100
-98.39102377,-6.69576100
-98.37102377,-6.69576100
-98.35102377,-6.69576100
-98.33102377,-5.79851700
-98.31102378,17.53593000
-98.29102378,35.48997000
-98.27102378,55.23850000
-98.25102378,61.52226000
-98.23102378,61.52226000
-98.21102378,65.11430000
-98.19102378,66.01154000
-98.17102378,65.11430000
-98.15102378,65.11430000
-98.13102378,66.01154000
-98.11102378,66.01154000
-98.09102378,66.01154000
-98.07102378,65.11430000
-98.05102378,65.11430000
-98.03102378,65.11430000
-98.01102378,65.11430000
-97.99102378,57.93328000
-97.97102378,24.71694000
-97.95102378,4.97146500
-97.93102378,2.27973300
-97.91102378,-1.31229600
-97.89102378,-4.90127200
-97.87102378,-5.79851700
-97.85102378,-5.79851700
-97.83102378,-6.69576100
-97.81102378,-6.69576100
-97.79102378,-6.69576100
-97.77102378,-6.69576100
-97.75102378,-6.69576100
-97.73102378,-6.69576100
-97.71102378,-6.69576100
-97.69102378,-6.69576100
-97.67102378,-5.79851700
-97.65102378,32.79824000
-97.63102378,46.26301000
-97.61102378,52.54677000
-97.59102378,60.62502000
-97.57102378,62.41951000
-97.55102378,62.41951000
-97.53102378,64.21705000
-97.51102378,64.21705000
-97.49102378,64.21705000
-97.47102378,64.21705000
-97.45102378,64.21705000
-97.43102378,64.21705000
-97.41102378,64.21705000
-97.39102378,64.21705000
-97.37102378,64.21705000
-97.35102378,64.21705000
-97.33102378,28.30897000
-97.31102378,19.33348000
-97.29102378,4.97146500
-97.27102378,-3.10678400
-97.25102378,-4.00402800
-97.23102378,-4.00402800
-97.21102378,-6.69576100
-97.19102378,-6.69576100
-97.17102378,-6.69576100
-97.15102378,-6.69576100
-97.13102378,-6.69576100
-97.11102378,-6.69576100
-97.09102378,-6.69576100
-97.07102378,-6.69576100
-97.05102378,-6.69576100
-97.03102378,-6.69576100
-97.01102378,7.66319800
-96.99102378,33.69549000
-96.97102378,53.44401000
-96.95102378,57.93328000
-96.93102378,59.72777000
-96.91102378,63.31981000
-96.89102378,64.21705000
-96.87102378,63.31981000
-96.85102378,64.21705000
-96.83102378,65.11430000
-96.81102378,64.21705000
-96.79102378,64.21705000
-96.77102378,64.21705000
-96.75102378,65.11430000
-96.73102378,65.11430000
-96.71102378,64.21705000
-96.69102378,60.62502000
-96.67102379,24.71694000
-96.65102379,4.97146500
-96.63102379,3.17697700
-96.61102379,-1.31229600
-96.59102379,-4.90127200
-96.57102379,-4.90127200
-96.55102379,-5.79851700
-96.53102379,-6.69576100
-96.51102379,-5.79851700
-96.49102379,-6.69576100
-96.47102379,-6.69576100
-96.45102379,-6.69576100
-96.43102379,-6.69576100
-96.41102379,-6.69576100
-96.39102379,-6.69576100
-96.37102379,-6.69576100
-96.35102379,32.79824000
-96.33102379,42.67098000
-96.31102379,53.44401000
-96.29102379,60.62502000
-96.27102379,62.41951000
-96.25102379,62.41951000
-96.23102379,63.31981000
-96.21102379,65.11430000
-96.19102379,64.21705000
-96.17102379,64.21705000
-96.15102379,64.21705000
-96.13102379,64.21705000
-96.11102379,64.21705000
-96.09102379,65.11430000
-96.07102379,64.21705000
-96.05102379,65.11430000
-96.03102379,33.69549000
-96.01102379,22.02521000
-95.99102379,4.97146500
-95.97102379,-3.10678400
-95.95102379,-3.10678400
-95.93102379,-4.90127200
-95.91102379,-6.69576100
-95.89102379,-5.79851700
-95.87102379,-5.79851700
-95.85102379,-6.69576100
-95.83102379,-7.59605700
-95.81102379,-6.69576100
-95.79102379,-6.69576100
-95.77102379,-6.69576100
-95.75102379,-6.69576100
-95.73102379,-6.69576100
-95.71102379,1.38248800
-95.69102379,33.69549000
-95.67102379,53.44401000
-95.65102379,56.13575000
-95.63102379,60.62502000
-95.61102379,63.31981000
-95.59102379,63.31981000
-95.57102379,63.31981000
-95.55102379,64.21705000
-95.53102379,64.21705000
-95.51102379,64.21705000
-95.49102379,64.21705000
-95.47102379,64.21705000
-95.45102379,64.21705000
-95.43102379,64.21705000
-95.41102379,64.21705000
-95.39102379,63.31981000
-95.37102379,23.81970000
-95.35102379,7.66319800
-95.33102379,4.07422100
-95.31102379,-2.20954000
-95.29102379,-5.79851700
-95.27102379,-5.79851700
-95.25102379,-5.79851700
-95.23102379,-6.69576100
-95.21102379,-6.69576100
-95.19102379,-6.69576100
-95.17102379,-6.69576100
-95.15102379,-6.69576100
-95.13102379,-6.69576100
-95.11102379,-6.69576100
-95.09102379,-6.69576100
-95.07102379,-6.69576100
-95.05102379,31.00070000
-95.03102380,39.08200000
-95.01102380,53.44401000
-94.99102380,61.52226000
-94.97102380,61.52226000
-94.95102380,62.41951000
-94.93102380,64.21705000
-94.91102380,64.21705000
-94.89102380,64.21705000
-94.87102380,64.21705000
-94.85102380,64.21705000
-94.83102380,64.21705000
-94.81102380,64.21705000
-94.79102380,64.21705000
-94.77102380,64.21705000
-94.75102380,64.21705000
-94.73102380,40.87649000
-94.71102380,23.81970000
-94.69102380,4.97146500
-94.67102380,-2.20954000
-94.65102380,-2.20954000
-94.63102380,-4.90127200
-94.61102380,-6.69576100
-94.59102380,-5.79851700
-94.57102380,-5.79851700
-94.55102380,-6.69576100
-94.53102380,-6.69576100
-94.51102380,-6.69576100
-94.49102380,-6.69576100
-94.47102380,-6.69576100
-94.45102380,-6.69576100
-94.43102380,-5.79851700
-94.41102380,-3.10678400
-94.39102380,33.69549000
-94.37102380,52.54677000
-94.35102380,55.23850000
-94.33102380,59.72777000
-94.31102380,63.31981000
-94.29102380,63.31981000
-94.27102380,63.31981000
-94.25102380,64.21705000
-94.23102380,64.21705000
-94.21102380,64.21705000
-94.19102380,64.21705000
-94.17102380,65.11430000
-94.15102380,64.21705000
-94.13102380,64.21705000
-94.11102380,65.11430000
-94.09102380,64.21705000
-94.07102380,23.81970000
-94.05102380,11.25217000
-94.03102380,4.07422100
-94.01102380,-3.10678400
-93.99102380,-4.90127200
-93.97102380,-4.90127200
-93.95102380,-5.79851700
-93.93102380,-6.69576100
-93.91102380,-6.69576100
-93.89102380,-6.69576100
-93.87102380,-6.69576100
-93.85102380,-6.69576100
-93.83102380,-6.69576100
-93.81102380,-6.69576100
-93.79102380,-6.69576100
-93.77102380,-6.69576100
-93.75102380,24.71694000
-93.73102380,36.38722000
-93.71102380,53.44401000
-93.69102380,60.62502000
-93.67102380,60.62502000
-93.65102380,62.41951000
-93.63102380,64.21705000
-93.61102380,64.21705000
-93.59102380,64.21705000
-93.57102380,64.21705000
-93.55102380,64.21705000
-93.53102380,64.21705000
-93.51102380,64.21705000
-93.49102380,64.21705000
-93.47102380,64.21705000
-93.45102380,64.21705000
-93.43102380,64.21705000
-93.41102380,64.21705000
-93.39102381,64.21705000
-93.37102381,64.21705000
-93.35102381,64.21705000
-93.33102381,64.21705000
-93.31102381,64.21705000
-93.29102381,64.21705000
-93.27102381,57.03604000
-93.25102381,24.71694000
-93.23102381,4.07422100
-93.21102381,1.38248800
-93.19102381,-2.20954000
-93.17102381,-4.90127200
-93.15102381,-5.79851700
-93.13102381,-5.79851700
-93.11102381,-5.79851700
-93.09102381,-6.69576100
-93.07102381,-6.69576100
-93.05102381,-6.69576100
-93.03102381,-6.69576100
-93.01102381,-6.69576100
-92.99102381,-6.69576100
-92.97102381,-6.69576100
-92.95102381,-6.69576100
-92.93102381,-6.69576100
-92.91102381,-6.69576100
-92.89102381,-6.69576100
-92.87102381,-6.69576100
-92.85102381,-6.69576100
-92.83102381,-6.69576100
-92.81102381,-6.69576100
-92.79102381,-6.69576100
-92.77102381,32.79824000
-92.75102381,41.77374000
-92.73102381,52.54677000
-92.71102381,61.52226000
-92.69102381,62.41951000
-92.67102381,63.31981000
-92.65102381,64.21705000
-92.63102381,64.21705000
-92.61102381,27.41173000
-92.59102381,18.43318000
-92.57102381,4.97146500
-92.55102381,-4.00402800
-92.53102381,-4.00402800
-92.51102381,-4.90127200
-92.49102381,-5.79851700
-92.47102381,-5.79851700
-92.45102381,19.33348000
-92.43102381,35.48997000
-92.41102381,53.44401000
-92.39102381,59.72777000
-92.37102381,60.62502000
-92.35102381,63.31981000
-92.33102381,64.21705000
-92.31102381,64.21705000
-92.29102381,64.21705000
-92.27102381,64.21705000
-92.25102381,64.21705000
-92.23102381,64.21705000
-92.21102381,64.21705000
-92.19102381,65.11430000
-92.17102381,64.21705000
-92.15102381,64.21705000
-92.13102381,55.23850000
-92.11102381,24.71694000
-92.09102381,4.07422100
-92.07102381,1.38248800
-92.05102381,-2.20954000
-92.03102381,-4.90127200
-92.01102381,-5.79851700
-91.99102381,-5.79851700
-91.97102381,-6.69576100
-91.95102381,-6.69576100
-91.93102381,-6.69576100
-91.91102381,-6.69576100
-91.89102381,-6.69576100
-91.87102381,-6.69576100
-91.85102381,-6.69576100
-91.83102381,-6.69576100
-91.81102381,-5.79851700
-91.79102381,33.69549000
-91.77102381,47.16025000
-91.75102381,53.44401000
-91.73102382,60.62502000
-91.71102382,63.31981000
-91.69102382,62.41951000
-91.67102382,63.31981000
-91.65102382,64.21705000
-91.63102382,64.21705000
-91.61102382,64.21705000
-91.59102382,64.21705000
-91.57102382,65.11430000
-91.55102382,64.21705000
-91.53102382,64.21705000
-91.51102382,64.21705000
-91.49102382,64.21705000
-91.47102382,26.51448000
-91.45102382,18.43318000
-91.43102382,4.97146500
-91.41102382,-3.10678400
-91.39102382,-4.00402800
-91.37102382,-4.90127200
-91.35102382,-5.79851700
-91.33102382,-6.69576100
-91.31102382,-6.69576100
-91.29102382,-6.69576100
-91.27102382,-6.69576100
-91.25102382,-6.69576100
-91.23102382,-6.69576100
-91.21102382,-6.69576100
-91.19102382,-6.69576100
-91.17102382,-6.69576100
-91.15102382,10.35493000
-91.13102382,33.69549000
-91.11102382,53.44401000
-91.09102382,58.83053000
-91.07102382,59.72777000
-91.05102382,63.31981000
-91.03102382,64.21705000
-91.01102382,64.21705000
-90.99102382,64.21705000
-90.97102382,64.21705000
-90.95102382,64.21705000
-90.93102382,64.21705000
-90.91102382,64.21705000
-90.89102382,64.21705000
-90.87102382,64.21705000
-90.85102382,65.11430000
-90.83102382,59.72777000
-90.81102382,24.71694000
-90.79102382,4.97146500
-90.77102382,2.27973300
-90.75102382,-2.20954000
-90.73102382,-5.79851700
-90.71102382,-5.79851700
-90.69102382,-5.79851700
-90.67102382,-5.79851700
-90.65102382,-6.69576100
-90.63102382,-6.69576100
-90.61102382,-6.69576100
-90.59102382,-6.69576100
-90.57102382,-6.69576100
-90.55102382,-6.69576100
-90.53102382,-6.69576100
-90.51102382,-5.79851700
-90.49102382,33.69549000
-90.47102382,44.46852000
-90.45102382,53.44401000
-90.43102382,60.62502000
-90.41102382,62.41951000
-90.39102382,62.41951000
-90.37102382,63.31981000
-90.35102382,64.21705000
-90.33102382,64.21705000
-90.31102382,64.21705000
-90.29102382,64.21705000
-90.27102382,65.11430000
