Time,Channel A
(us),(V)

-99.61618343,0.28583640
-99.59618343,0.41102330
-99.57618343,0.48255870
-99.55618343,0.50938450
-99.53618343,0.28583640
-99.51618343,0.16959140
-99.49618343,0.09805597
-99.47618343,0.06228828
-99.45618343,0.26795250
-99.43618343,0.39313950
-99.41618343,0.47361670
-99.39618344,0.51832630
-99.37618344,0.31266210
-99.35618344,0.18747520
-99.33618344,0.10699790
-99.31618344,0.06228828
-99.29618344,0.25006870
-99.27618344,0.37525560
-99.25618344,0.46467480
-99.23618344,0.51832630
-99.21618344,0.33948790
-99.19618344,0.20535910
-99.17618344,0.10699790
-99.15618344,0.06228828
-99.13618344,0.21430100
-99.11618344,0.35737170
-99.09618344,0.45573290
-99.07618344,0.50938450
-99.05618344,0.36631370
-99.03618344,0.22324290
-99.01618344,0.12488170
-98.99618344,0.06228828
-98.97618344,0.16959140
-98.95618344,0.33948790
-98.93618344,0.44679100
-98.91618344,0.50044250
-98.89618344,0.41102330
-98.87618344,0.24112670
-98.85618344,0.12488170
-98.83618344,0.07123020
-98.81618344,0.12488170
-98.79618344,0.32160400
-98.77618344,0.43784900
-98.75618344,0.50044250
-98.73618344,0.45573290
-98.71618344,0.25006870
-98.69618344,0.14276560
-98.67618344,0.08017212
-98.65618344,0.08911405
-98.63618344,0.31266210
-98.61618344,0.42890710
-98.59618344,0.49150060
-98.57618344,0.52726830
-98.55618344,0.54515210
-98.53618344,0.55409410
-98.51618344,0.56303600
-98.49618344,0.54515210
-98.47618344,0.30372020
-98.45618344,0.16959140
-98.43618344,0.09805597
-98.41618344,0.06228828
-98.39618344,0.03546251
-98.37618344,0.02652058
-98.35618344,0.01757866
-98.33618344,0.01757866
-98.31618344,0.25006870
-98.29618344,0.38419750
-98.27618344,0.46467480
-98.25618344,0.51832630
-98.23618344,0.53621020
-98.21618344,0.55409410
-98.19618344,0.55409410
-98.17618344,0.56303600
-98.15618344,0.33948790
-98.13618344,0.20535910
-98.11618344,0.10699790
-98.09618344,0.06228828
-98.07618344,0.03546251
-98.05618344,0.01757866
-98.03618344,0.01757866
-98.01618344,0.00863674
-97.99618344,0.19641710
-97.97618344,0.33948790
-97.95618344,0.44679100
-97.93618344,0.50938450
-97.91618344,0.53621020
-97.89618344,0.54515210
-97.87618344,0.55409410
-97.85618344,0.56303600
-97.83618344,0.57197790
-97.81618344,0.57197790
-97.79618344,0.57197790
-97.77618344,0.57197790
-97.75618344,0.43784900
-97.73618345,0.25901060
