Time,Channel A
(us),(mV)

-497.97637621,36.19037000
-497.89637621,36.19037000
-497.81637621,36.19037000
-497.73637621,-2.84432500
-497.65637621,-3.74156900
-497.57637621,-4.19019100
-497.49637621,-3.74156900
-497.41637621,26.76778000
-497.33637621,36.19037000
-497.25637621,36.19037000
-497.17637621,36.19037000
-497.09637621,36.19037000
-497.01637622,36.19037000
-496.93637622,36.19037000
-496.85637622,-2.84432500
-496.77637622,-3.74156900
-496.69637622,-4.19019100
-496.61637622,-4.19019100
-496.53637622,-3.74156900
-496.45637622,-4.19019100
-496.37637622,1.19327400
-496.29637622,35.74175000
-496.21637622,36.19037000
-496.13637622,-3.29294700
-496.05637622,-4.19019100
-495.97637622,33.94727000
-495.89637622,36.19037000
-495.81637622,36.63900000
-495.73637622,36.19037000
-495.65637622,9.26847200
-495.57637622,-4.19019100
-495.49637622,-2.84432500
-495.41637622,35.74175000
-495.33637623,36.19037000
-495.25637623,-2.84432500
-495.17637623,-3.74156900
-495.09637623,33.94727000
-495.01637623,36.19037000
-494.93637623,4.78225000
-494.85637623,-3.74156900
-494.77637623,13.30760000
-494.69637623,35.74175000
-494.61637623,36.19037000
-494.53637623,-3.29294700
-494.45637623,-4.19019100
-494.37637623,34.39589000
-494.29637623,36.19037000
-494.21637623,-0.15259250
-494.13637623,-4.19019100
-494.05637623,-4.19019100
-493.97637623,-4.19019100
-493.89637623,-1.04983700
-493.81637623,35.74175000
-493.73637624,36.19037000
-493.65637624,-3.29294700
-493.57637624,-3.74156900
-493.49637624,34.39589000
-493.41637624,36.19037000
-493.33637624,36.19037000
-493.25637624,35.74175000
-493.17637624,11.96020000
-493.09637624,-3.74156900
-493.01637624,-3.74156900
-492.93637624,35.74175000
-492.85637624,36.19037000
-492.77637624,-2.84432500
-492.69637624,-4.19019100
-492.61637624,33.49864000
-492.53637624,36.19037000
-492.45637624,4.78225000
-492.37637624,-3.74156900
-492.29637624,8.81984900
-492.21637624,35.74175000
-492.13637624,35.74175000
-492.05637625,-3.74156900
-491.97637625,-4.19019100
-491.89637625,-3.74156900
-491.81637625,-3.74156900
-491.73637625,30.35676000
-491.65637625,35.74175000
-491.57637625,5.67949400
-491.49637625,-3.74156900
-491.41637625,0.29602950
-491.33637625,35.74175000
-491.25637625,36.19037000
-491.17637625,-3.74156900
-491.09637625,-3.74156900
-491.01637625,33.94727000
-490.93637625,36.19037000
-490.85637625,3.43638400
-490.77637625,-3.74156900
-490.69637625,21.38279000
-490.61637625,35.74175000
-490.53637625,36.19037000
-490.45637626,36.19037000
-490.37637626,36.19037000
-490.29637626,-2.84432500
-490.21637626,-4.19019100
-490.13637626,33.49864000
-490.05637626,36.19037000
-489.97637626,4.78225000
-489.89637626,-3.74156900
-489.81637626,-3.74156900
-489.73637626,-4.19019100
-489.65637626,-3.74156900
-489.57637626,35.74175000
-489.49637626,36.19037000
-489.41637626,-2.84432500
-489.33637626,-3.74156900
-489.25637626,31.25401000
-489.17637626,36.19037000
-489.09637626,36.19037000
-489.01637626,36.19037000
-488.93637626,33.05002000
-488.85637626,-3.74156900
-488.77637627,-3.74156900
-488.69637627,-4.19019100
-488.61637627,-4.19019100
-488.53637627,34.39589000
-488.45637627,36.19037000
-488.37637627,2.98776200
-488.29637627,-3.74156900
-488.21637627,17.79382000
-488.13637627,36.19037000
-488.05637627,35.74175000
-487.97637627,-3.74156900
-487.89637627,-4.19019100
-487.81637627,34.84451000
-487.73637627,36.19037000
-487.65637627,36.19037000
-487.57637627,36.19037000
-487.49637627,5.23087300
-487.41637627,-3.74156900
-487.33637627,-4.19019100
-487.25637627,-4.19019100
-487.17637628,-3.74156900
-487.09637628,35.74175000
-487.01637628,36.19037000
-486.93637628,36.19037000
-486.85637628,36.19037000
-486.77637628,1.19327400
-486.69637628,-3.74156900
-486.61637628,-4.19019100
-486.53637628,-4.19019100
-486.45637628,-0.15259250
-486.37637628,35.74175000
-486.29637628,36.19037000
-486.21637628,-3.74156900
-486.13637628,-4.19019100
-486.05637628,34.39589000
-485.97637628,36.19037000
-485.89637628,36.19037000
-485.81637628,36.19037000
-485.73637628,36.19037000
-485.65637628,36.19037000
-485.57637628,35.29313000
-485.49637629,-3.74156900
-485.41637629,-3.74156900
-485.33637629,-3.74156900
-485.25637629,-3.74156900
-485.17637629,33.05002000
-485.09637629,36.19037000
-485.01637629,4.78225000
-484.93637629,-3.74156900
-484.85637629,-3.74156900
-484.77637629,-4.19019100
-484.69637629,-4.19019100
-484.61637629,35.74175000
-484.53637629,36.19037000
-484.45637629,-2.39570300
-484.37637629,-4.19019100
-484.29637629,30.80538000
-484.21637629,35.74175000
-484.13637629,36.19037000
-484.05637629,36.19037000
-483.97637629,29.01089000
-483.89637629,-4.19019100
-483.81637630,-3.74156900
-483.73637630,-4.19019100
-483.65637630,-4.19019100
-483.57637630,33.94727000
-483.49637630,35.74175000
-483.41637630,2.98776200
-483.33637630,-3.74156900
-483.25637630,21.83142000
-483.17637630,35.74175000
-483.09637630,34.39589000
-483.01637630,-3.29294700
-482.93637630,-4.19019100
-482.85637630,34.84451000
-482.77637630,35.74175000
-482.69637630,-1.94708100
-482.61637630,-4.19019100
-482.53637630,27.21641000
-482.45637630,36.19037000
-482.37637630,36.19037000
-482.29637630,36.63900000
-482.21637631,36.19037000
-482.13637631,-3.74156900
-482.05637631,-3.74156900
-481.97637631,34.39589000
-481.89637631,36.19037000
-481.81637631,-0.15259250
-481.73637631,-3.74156900
-481.65637631,26.31916000
-481.57637631,35.74175000
-481.49637631,26.31916000
-481.41637631,-3.74156900
-481.33637631,-3.74156900
-481.25637631,35.29313000
-481.17637631,36.19037000
-481.09637631,-1.94708100
-481.01637631,-4.19019100
-480.93637631,-4.19019100
-480.85637631,-4.19019100
-480.77637631,23.17881000
-480.69637631,35.74175000
-480.61637631,35.29313000
-480.53637632,-3.74156900
-480.45637632,-3.74156900
-480.37637632,34.84451000
-480.29637632,36.19037000
-480.21637632,36.19037000
-480.13637632,36.19037000
-480.05637632,4.78225000
-479.97637632,-4.63881300
-479.89637632,-4.19019100
-479.81637632,-4.19019100
-479.73637632,-3.74156900
-479.65637632,35.74175000
-479.57637632,36.19037000
-479.49637632,-2.39570300
-479.41637632,-3.74156900
-479.33637632,32.15277000
-479.25637632,36.19037000
-479.17637632,5.67949400
-479.09637632,-4.19019100
-479.01637632,0.29602950
-478.93637633,36.19037000
-478.85637633,36.19037000
-478.77637633,36.19037000
-478.69637633,36.19037000
-478.61637633,-2.39570300
-478.53637633,-4.19019100
-478.45637633,28.56227000
-478.37637633,36.19037000
-478.29637633,9.71709300
-478.21637633,-3.74156900
-478.13637633,-2.84432500
-478.05637633,35.74175000
-477.97637633,36.19037000
-477.89637633,-3.29294700
-477.81637633,-3.74156900
-477.73637633,-3.74156900
-477.65637633,-3.74156900
-477.57637633,27.21641000
-477.49637633,36.19037000
-477.41637633,36.19037000
-477.33637633,36.19037000
-477.25637634,35.74175000
-477.17637634,-3.74156900
-477.09637634,-3.74156900
-477.01637634,34.39589000
-476.93637634,35.74175000
-476.85637634,0.29602950
-476.77637634,-3.74156900
-476.69637634,25.87054000
-476.61637634,36.19037000
-476.53637634,27.21641000
-476.45637634,-3.74156900
-476.37637634,-4.19019100
-476.29637634,-3.74156900
-476.21637634,-4.19019100
-476.13637634,34.39589000
-476.05637634,35.74175000
-475.97637634,36.19037000
-475.89637634,36.19037000
-475.81637634,8.37122700
-475.73637634,-4.19019100
-475.65637635,-3.74156900
-475.57637635,-3.74156900
-475.49637635,-4.19019100
-475.41637635,34.84451000
-475.33637635,36.19037000
-475.25637635,36.19037000
-475.17637635,36.19037000
-475.09637635,4.33362800
-475.01637635,-3.74156900
-474.93637635,-4.19019100
-474.85637635,-4.19019100
-474.77637635,-4.19019100
-474.69637635,35.74175000
-474.61637635,35.74175000
-474.53637635,36.19037000
-474.45637635,36.19037000
-474.37637635,36.19037000
-474.29637635,36.19037000
-474.21637635,6.12811700
-474.13637635,-3.74156900
-474.05637635,-3.74156900
-473.97637636,-4.19019100
-473.89637636,-4.19019100
-473.81637636,-4.19019100
-473.73637636,-4.19019100
-473.65637636,34.39589000
-473.57637636,35.74175000
-473.49637636,2.98776200
-473.41637636,-3.74156900
-473.33637636,19.58830000
-473.25637636,35.74175000
-473.17637636,34.84451000
-473.09637636,-3.74156900
-473.01637636,-3.74156900
-472.93637636,35.29313000
-472.85637636,36.19037000
-472.77637636,36.19037000
-472.69637636,36.63900000
-472.61637636,4.78225000
-472.53637636,-3.74156900
-472.45637636,11.06296000
-472.37637636,35.74175000
-472.29637637,35.74175000
-472.21637637,-3.74156900
-472.13637637,-4.19019100
-472.05637637,34.39589000
-471.97637637,35.74175000
-471.89637637,0.29602950
-471.81637637,-4.19019100
-471.73637637,25.87054000
-471.65637637,35.74175000
-471.57637637,28.56227000
-471.49637637,-3.74156900
-471.41637637,-3.74156900
-471.33637637,35.29313000
-471.25637637,36.19037000
-471.17637637,-1.94708100
-471.09637637,-3.74156900
-471.01637637,28.56227000
-470.93637637,35.74175000
-470.85637637,8.81984900
-470.77637637,-4.19019100
-470.69637638,-3.74156900
-470.61637638,35.74175000
-470.53637638,36.19037000
-470.45637638,-2.84432500
-470.37637638,-4.19019100
-470.29637638,-4.19019100
-470.21637638,-4.19019100
-470.13637638,27.21641000
-470.05637638,35.74175000
-469.97637638,35.74175000
-469.89637638,36.19037000
-469.81637638,36.19037000
-469.73637638,-3.74156900
-469.65637638,-4.19019100
-469.57637638,34.39589000
-469.49637638,36.19037000
-469.41637638,0.29602950
-469.33637638,-3.74156900
-469.25637638,-3.74156900
-469.17637638,-3.74156900
-469.09637638,-0.60121460
-469.01637639,35.74175000
-468.93637639,36.19037000
-468.85637639,-3.29294700
-468.77637639,-3.74156900
-468.69637639,34.39589000
-468.61637639,36.19037000
-468.53637639,36.63900000
-468.45637639,36.63900000
-468.37637639,11.51158000
-468.29637639,-3.74156900
-468.21637639,-4.19019100
-468.13637639,-3.74156900
-468.05637639,-3.74156900
-467.97637639,34.84451000
-467.89637639,36.19037000
-467.81637639,-1.04983700
-467.73637639,-4.19019100
-467.65637639,26.76778000
-467.57637639,35.74175000
-467.49637639,36.19037000
-467.41637640,36.19037000
-467.33637640,36.19037000
-467.25637640,-3.74156900
-467.17637640,-4.19019100
-467.09637640,-4.19019100
-467.01637640,-4.19019100
-466.93637640,30.80538000
-466.85637640,35.74175000
-466.77637640,36.19037000
-466.69637640,36.19037000
-466.61637640,29.90814000
-466.53637640,-3.74156900
-466.45637640,-4.19019100
-466.37637640,35.29313000
-466.29637640,36.19037000
-466.21637640,-1.94708100
-466.13637640,-3.74156900
-466.05637640,28.56227000
-465.97637640,36.19037000
-465.89637640,9.26847200
-465.81637640,-3.74156900
-465.73637641,-3.74156900
-465.65637641,35.74175000
-465.57637641,36.19037000
-465.49637641,-2.84432500
-465.41637641,-4.19019100
-465.33637641,-4.19019100
-465.25637641,-4.19019100
-465.17637641,27.21641000
-465.09637641,36.19037000
-465.01637641,24.97330000
-464.93637641,-3.74156900
-464.85637641,-4.19019100
-464.77637641,35.74175000
-464.69637641,36.19037000
-464.61637641,36.19037000
-464.53637641,35.74175000
-464.45637641,0.29602950
-464.37637641,-3.74156900
-464.29637641,-4.19019100
-464.21637641,-3.74156900
-464.13637642,-1.49845900
-464.05637642,35.74175000
-463.97637642,36.19037000
-463.89637642,36.19037000
-463.81637642,36.19037000
-463.73637642,-2.39570300
-463.65637642,-3.74156900
-463.57637642,-3.74156900
-463.49637642,-3.74156900
-463.41637642,18.69106000
-463.33637642,36.19037000
-463.25637642,36.19037000
-463.17637642,35.74175000
-463.09637642,35.74175000
-463.01637642,35.74175000
-462.93637642,35.74175000
-462.85637642,-1.04983700
-462.77637642,-4.19019100
-462.69637642,-4.19019100
-462.61637642,-4.19019100
-462.53637642,8.81984900
-462.45637643,35.74175000
-462.37637643,35.74175000
-462.29637643,-3.74156900
-462.21637643,-4.19019100
-462.13637643,-4.19019100
-462.05637643,-3.74156900
-461.97637643,30.35676000
-461.89637643,36.19037000
-461.81637643,5.67949400
-461.73637643,-3.74156900
-461.65637643,0.29602950
-461.57637643,35.74175000
-461.49637643,36.19037000
-461.41637643,36.19037000
-461.33637643,36.63900000
-461.25637643,-2.39570300
-461.17637643,-4.19019100
-461.09637643,-4.19019100
-461.01637643,-4.19019100
-460.93637643,20.03693000
-460.85637644,35.74175000
-460.77637644,36.19037000
-460.69637644,36.19037000
-460.61637644,36.19037000
-460.53637644,-2.84432500
-460.45637644,-4.19019100
-460.37637644,33.05002000
-460.29637644,35.74175000
-460.21637644,4.78225000
-460.13637644,-3.74156900
-460.05637644,4.78225000
-459.97637644,35.74175000
-459.89637644,36.19037000
-459.81637644,-3.29294700
-459.73637644,-3.74156900
-459.65637644,-4.19019100
-459.57637644,-4.19019100
-459.49637644,31.25401000
-459.41637644,36.19037000
-459.33637644,36.19037000
-459.25637644,36.19037000
-459.17637645,33.05002000
-459.09637645,-3.74156900
-459.01637645,-4.19019100
-458.93637645,-4.19019100
